year,unitid,sex,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,gender,pct_admitted,pct_matriculated
2015,460950,2,,,,,,Female,,
2015,460950,99,,,,,,Total,,
2015,460969,1,,,,,,Male,,
2015,460969,2,,,,,,Female,,
2015,460969,99,,,,,,Total,,
2015,460978,1,,,,,,Male,,
2015,460978,2,,,,,,Female,,
2015,460978,99,,,,,,Total,,
2015,460987,1,,,,,,Male,,
2015,460987,2,,,,,,Female,,
2015,460987,99,,,,,,Total,,
2015,460996,1,,,,,,Male,,
2015,460996,2,,,,,,Female,,
2015,460996,99,,,,,,Total,,
2015,461005,1,,,,,,Male,,
2015,461005,2,,,,,,Female,,
2015,461005,99,,,,,,Total,,
2015,461014,1,,,,,,Male,,
2015,461014,2,,,,,,Female,,
2015,461014,99,,,,,,Total,,
2015,461023,1,,,,,,Male,,
2015,461023,2,,,,,,Female,,
2015,461023,99,,,,,,Total,,
2015,461032,1,,,,,,Male,,
2015,461032,2,,,,,,Female,,
2015,461032,99,,,,,,Total,,
2015,461041,1,,,,,,Male,,
2015,461041,2,,,,,,Female,,
2015,461041,99,,,,,,Total,,
2015,461087,1,,,,,,Male,,
2015,461087,2,,,,,,Female,,
2015,461087,99,,,,,,Total,,
2015,461111,1,,,,,,Male,,
2015,461111,2,,,,,,Female,,
2015,461111,99,,,,,,Total,,
2015,461120,1,,,,,,Male,,
2015,461120,2,,,,,,Female,,
2015,461120,99,,,,,,Total,,
2015,461139,1,,,,,,Male,,
2015,461139,2,,,,,,Female,,
2015,461139,99,,,,,,Total,,
2015,461148,1,,,,,,Male,,
2015,461148,2,,,,,,Female,,
2015,461148,99,,,,,,Total,,
2015,461157,1,,,,,,Male,,
2015,461157,2,,,,,,Female,,
2015,461157,99,,,,,,Total,,
2015,461175,1,,,,,,Male,,
2015,461175,2,,,,,,Female,,
2015,461175,99,,,,,,Total,,
2015,461193,1,,,,,,Male,,
2015,461193,2,,,,,,Female,,
2015,461193,99,,,,,,Total,,
2015,461218,1,,,,,,Male,,
2015,461218,2,,,,,,Female,,
2015,461218,99,,,,,,Total,,
2015,461227,1,,,,,,Male,,
2015,461227,2,,,,,,Female,,
2015,461227,99,,,,,,Total,,
2015,461236,1,,,,,,Male,,
2015,461236,2,,,,,,Female,,
2015,461236,99,,,,,,Total,,
2015,461245,1,,,,,,Male,,
2015,461245,2,,,,,,Female,,
2015,461245,99,,,,,,Total,,
2015,461254,1,,,,,,Male,,
2015,461254,2,,,,,,Female,,
2015,461254,99,,,,,,Total,,
2015,461263,1,,,,,,Male,,
2015,461263,2,,,,,,Female,,
2015,461263,99,,,,,,Total,,
2015,461272,1,,,,,,Male,,
2015,461272,2,,,,,,Female,,
2015,461272,99,,,,,,Total,,
2015,461281,1,,,,,,Male,,
2015,461281,2,,,,,,Female,,
2015,461281,99,,,,,,Total,,
2015,461290,1,,,,,,Male,,
2015,461290,2,,,,,,Female,,
2015,461290,99,,,,,,Total,,
2015,461306,1,,,,,,Male,,
2015,461306,2,,,,,,Female,,
2015,461306,99,,,,,,Total,,
2015,461315,1,,,,,,Male,,
2015,461315,2,,,,,,Female,,
2015,461315,99,,,,,,Total,,
2015,461324,1,,,,,,Male,,
2015,461324,2,,,,,,Female,,
2015,461324,99,,,,,,Total,,
2015,461333,1,15.0,15.0,,10.0,10.0,Male,1.0,0.6666666666666666
2015,461333,2,1.0,1.0,,1.0,1.0,Female,1.0,1.0
2015,461333,99,16.0,16.0,,11.0,11.0,Total,1.0,0.6875
2015,461342,1,,,,,,Male,,
2015,461342,2,,,,,,Female,,
2015,461342,99,,,,,,Total,,
2015,461351,1,,,,,,Male,,
2015,461351,2,,,,,,Female,,
2015,461351,99,,,,,,Total,,
2015,461360,1,,,,,,Male,,
2015,461360,2,,,,,,Female,,
2015,461360,99,,,,,,Total,,
2015,461379,1,,,,,,Male,,
2015,461379,2,,,,,,Female,,
2015,461379,99,,,,,,Total,,
2015,461388,1,,,,,,Male,,
2015,461388,2,,,,,,Female,,
2015,461388,99,,,,,,Total,,
2015,461397,1,,,,,,Male,,
2015,461397,2,,,,,,Female,,
2015,461397,99,,,,,,Total,,
2015,461412,1,,,,,,Male,,
2015,461412,2,,,,,,Female,,
2015,461412,99,,,,,,Total,,
2015,461421,1,,,,,,Male,,
2015,461421,2,,,,,,Female,,
2015,461421,99,,,,,,Total,,
2015,461430,1,,,,,,Male,,
2015,461430,2,,,,,,Female,,
2015,461430,99,,,,,,Total,,
2015,461449,1,,,,,,Male,,
2015,461449,2,,,,,,Female,,
2015,461449,99,,,,,,Total,,
2015,461458,1,,,,,,Male,,
2015,461458,2,,,,,,Female,,
2015,461458,99,,,,,,Total,,
2015,461476,1,,,,,,Male,,
2015,461476,2,,,,,,Female,,
2015,461476,99,,,,,,Total,,
2015,461485,1,,,,,,Male,,
2015,461485,2,,,,,,Female,,
2015,461485,99,,,,,,Total,,
2015,461494,1,,,,,,Male,,
2015,461494,2,,,,,,Female,,
2015,461494,99,,,,,,Total,,
2015,461500,1,,,,,,Male,,
2015,461500,2,,,,,,Female,,
2015,461500,99,,,,,,Total,,
2015,461528,1,21.0,11.0,4.0,7.0,11.0,Male,0.5238095238095238,1.0
2015,461528,2,15.0,8.0,2.0,5.0,7.0,Female,0.5333333333333333,0.875
