opeid6,year,unitid,opeid,lowincome_pct,fafsa_sent_2ormore_pct,fafsa_sent_3ormore_pct,fafsa_sent_4ormore_pct,fafsa_sent_5ormore_pct,count_total_fafsa_applicants,first_gen_student_pct,faminc_mean
2005,2016,159966,200500,0.41520200000000007,0.516551,0.288925,0.180221,0.118104,2447.0,0.45837100000000003,55037.5
2020,2016,159993,202000,0.441605,0.47816800000000004,0.24742600000000003,0.14874,0.0912318,2817.0,0.380085,49753.4
9975,2016,160010,997500,0.8321290000000001,0.33975900000000003,0.135743,0.0738956,0.0441767,1245.0,0.522814,14806.8
2021,2016,160038,202100,0.480271,0.512189,0.27167600000000003,0.161347,0.101533,3979.0,0.42430200000000007,45349.8
2023,2016,160065,202300,0.535573,0.604743,0.333992,0.197628,0.13438699999999998,506.0,0.489888,41733.4
31062,2016,160074,3106200,0.412096,0.514768,0.24472600000000003,0.120956,0.0675105,711.0,0.473602,54066.4
12879,2016,160117,1287900,0.867647,0.48529399999999995,0.205882,,,136.0,0.45045,14759.2
12880,2016,160126,1288000,,,,,,48.0,,10712.8
12823,2016,160135,1282300,0.7522939999999999,0.504587,,,0.11009200000000001,109.0,0.466667,20404.3
23278,2016,160199,2327800,,,,,,56.0,,11618.7
26009,2016,160320,2600900,0.575857,0.394635,0.179136,0.0912072,0.0581222,3355.0,0.43728599999999995,40964.2
2027,2016,160409,202700,0.413793,,,,,29.0,,41037.0
25548,2016,160445,2554800,0.648601,0.416084,0.204545,0.118881,0.06993010000000001,572.0,0.487755,35292.2
25183,2016,160472,2518300,,,,,,55.0,0.681818,17227.8
5761,2016,160481,576100,0.642676,0.47756099999999996,0.21168499999999998,0.10245599999999999,0.06519900000000001,1181.0,0.589443,33039.5
30265,2016,160524,3026514,0.8103859999999999,0.334212,0.137681,0.0758674,0.048419,9108.0,0.594666,18536.5
5467,2016,160579,546700,0.733584,0.380238,0.144465,0.0825516,0.0437774,1599.0,0.508683,20366.0
22693,2016,160597,2269300,0.84,,,,,100.0,0.545455,17880.1
2024,2016,160612,202400,0.435169,0.531478,0.322479,0.209986,0.140122,5067.0,0.399084,52157.9
2025,2016,160621,202500,0.6006229999999999,0.7071649999999999,0.47632399999999997,0.336449,0.22648000000000001,3210.0,0.39660100000000004,33136.9
2026,2016,160630,202600,0.761321,0.711321,0.45754700000000004,0.312264,0.217925,1060.0,0.49600900000000003,21021.3
7686,2016,160649,768600,0.7872640000000001,0.678357,0.41993500000000006,0.283802,0.200277,2167.0,0.493909,21007.3
2031,2016,160658,203100,0.37952600000000003,0.470897,0.257868,0.159222,0.103046,5910.0,0.384858,59163.3
6756,2016,160667,675600,0.714448,0.560865,0.24630300000000002,0.125142,0.0824801,1758.0,0.51541,27160.3
2029,2016,160755,202900,0.28341700000000003,0.708264,0.608985,0.539101,0.48141999999999996,1803.0,0.18001199999999998,106023.0
2032,2016,160904,203200,0.45558699999999996,0.770057,0.63467,0.545129,0.45558699999999996,1396.0,0.265723,49213.9
5526,2016,160913,552600,0.760188,0.363636,0.153605,0.07836989999999999,0.042319699999999995,638.0,0.5727439999999999,20002.2
4586,2016,160940,458615,0.698289,0.47672600000000004,0.201219,0.0983824,0.05295509999999999,38391.0,0.533064,25167.4
11385,2016,160959,1138500,0.304348,0.717391,0.5942029999999999,0.514493,0.39855100000000004,138.0,,72557.0
2036,2016,160977,203600,0.153846,,,,0.561873,299.0,0.150877,123832.0
5204,2016,160995,520400,0.652632,0.315789,0.11228099999999999,,,285.0,0.541176,29205.5
