year,fips,unitid,sex,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total
2017,5,107460,2,,,,,
2017,5,107460,99,,,,,
2017,5,107488,1,,,,,
2017,5,107488,2,,,,,
2017,5,107488,99,,,,,
2017,5,107512,1,748.0,519.0,196.0,0.0,196.0
2017,5,107512,2,1038.0,748.0,272.0,0.0,272.0
2017,5,107512,99,1786.0,1267.0,468.0,0.0,468.0
2017,5,107521,1,,,,,
2017,5,107521,2,,,,,
2017,5,107521,99,,,,,
2017,5,107549,1,,,,,
2017,5,107549,2,,,,,
2017,5,107549,99,,,,,
2017,5,107558,1,410.0,370.0,124.0,,124.0
2017,5,107558,2,585.0,517.0,135.0,,135.0
2017,5,107558,99,995.0,887.0,259.0,,259.0
2017,5,107585,1,586.0,426.0,178.0,39.0,217.0
2017,5,107585,2,753.0,579.0,226.0,78.0,304.0
2017,5,107585,99,1339.0,1005.0,404.0,117.0,521.0
2017,5,107600,1,,,,,
2017,5,107600,2,,,,,
2017,5,107600,99,,,,,
2017,5,107619,1,,,,,
2017,5,107619,2,,,,,
2017,5,107619,99,,,,,
2017,5,107637,1,,,,,
2017,5,107637,2,,,,,
2017,5,107637,99,,,,,
2017,5,107655,1,,,,,
2017,5,107655,2,,,,,
2017,5,107655,99,,,,,
2017,5,107664,1,,,,,
2017,5,107664,2,,,,,
2017,5,107664,99,,,,,
2017,5,107725,1,,,,,
2017,5,107725,2,,,,,
2017,5,107725,99,,,,,
2017,5,107743,1,,,,,
2017,5,107743,2,,,,,
2017,5,107743,99,,,,,
2017,5,107789,1,,,,,
2017,5,107789,2,,,,,
2017,5,107789,99,,,,,
2017,5,107831,1,,,,,
2017,5,107831,2,,,,,
2017,5,107831,99,,,,,
2017,5,107840,1,,,,,
2017,5,107840,2,,,,,
2017,5,107840,99,,,,,
2017,5,107877,1,336.0,207.0,93.0,0.0,93.0
2017,5,107877,2,329.0,208.0,49.0,0.0,49.0
2017,5,107877,99,665.0,415.0,142.0,0.0,142.0
2017,5,107974,1,,,,,
2017,5,107974,2,,,,,
2017,5,107974,99,,,,,
2017,5,107983,1,1546.0,1073.0,421.0,3.0,424.0
2017,5,107983,2,2058.0,1430.0,437.0,9.0,446.0
2017,5,107983,99,3604.0,2503.0,858.0,12.0,870.0
2017,5,107992,1,,,,,
2017,5,107992,2,,,,,
2017,5,107992,99,,,,,
2017,5,108056,1,,,,,
2017,5,108056,2,,,,,
2017,5,108056,99,,,,,
2017,5,108065,1,,,,,
2017,5,108065,2,,,,,
2017,5,108065,99,,,,,
2017,5,108092,1,,,,,
2017,5,108092,2,,,,,
2017,5,108092,99,,,,,
2017,6,108232,1,,,,,
2017,6,108232,2,,,,,
2017,6,108232,99,,,,,
2017,6,108250,1,,,,,
2017,6,108250,2,,,,,
2017,6,108250,99,,,,,
2017,6,108269,1,,,,,
2017,6,108269,2,,,,,
2017,6,108269,99,,,,,
2017,6,108348,1,,,,,
2017,6,108348,2,,,,,
2017,6,108348,99,,,,,
2017,6,108649,1,,,,,
2017,6,108649,2,,,,,
2017,6,108649,99,,,,,
2017,6,108667,1,,,,,
2017,6,108667,2,,,,,
2017,6,108667,99,,,,,
2017,6,108807,1,,,,,
2017,6,108807,2,,,,,
2017,6,108807,99,,,,,
2017,6,108852,1,184.0,142.0,60.0,,60.0
2017,6,108852,2,297.0,236.0,81.0,,81.0
2017,6,108852,99,481.0,378.0,141.0,,141.0
2017,6,108861,1,,,,,
2017,6,108861,2,,,,,
2017,6,108861,99,,,,,
2017,6,108870,1,,,,,
2017,6,108870,2,,,,,
2017,6,108870,99,,,,,
2017,6,108977,1,,,,,
2017,6,108977,2,,,,,
2017,6,108977,99,,,,,
2017,6,109040,1,,,,,
2017,6,109040,2,,,,,
2017,6,109040,99,,,,,
2017,6,109086,1,0.0,,,,
2017,6,109086,2,0.0,,,,
2017,6,109086,99,0.0,,,,
2017,6,109208,1,,,,,
2017,6,109208,2,,,,,
2017,6,109208,99,,,,,
2017,6,109350,1,,,,,
2017,6,109350,2,,,,,
2017,6,109350,99,,,,,
2017,6,109651,1,306.0,188.0,90.0,,90.0
