year,fips,unitid,reqt_hs_diploma,reqt_hs_rank,reqt_test_scores,reqt_sat_scores,reqt_other_test,reqt_residence,reqt_ability_to_benefit,reqt_age,reqt_toefl,reqt_other,years_college_reqd,no_entering_freshmen,open_admissions_policy,reqt_hs_gpa,reqt_hs_record,reqt_college_prep,reqt_recommendations,reqt_competencies,sat_act_report_period,sat_number_submitting,sat_percent_submitting,act_number_submitting,act_percent_submitting,sat_crit_read_25_pctl,sat_crit_read_75_pctl,sat_math_25_pctl,sat_math_75_pctl,act_composite_25_pctl,act_composite_75_pctl,act_english_25_pctl,act_english_75_pctl,act_math_25_pctl,act_math_75_pctl,sat_writing_25_pctl,sat_writing_75_pctl,act_writing_25_pctl,act_writing_75_pctl
2017,1,102067,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,102076,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,102094,,0.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,0.0,0.0,0.0,,137.0,7.0,1778.0,94.0,510.0,610.0,500.0,590.0,20.0,26.0,21.0,27.0,18.0,25.0,,,,
2017,1,102234,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,1.0,0.0,,52.0,13.0,309.0,78.0,515.0,600.0,510.0,585.0,21.0,26.0,21.0,28.0,18.0,25.0,,,,
2017,1,102261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,102270,,2.0,2.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2017,1,102298,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,102313,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,102368,,0.0,1.0,,2.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,0.0,,45.0,2.0,1703.0,79.0,480.0,600.0,465.0,605.0,18.0,25.0,18.0,26.0,17.0,24.0,,,,
2017,1,102377,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,2.0,2.0,,216.0,28.0,557.0,74.0,440.0,540.0,420.0,520.0,18.0,24.0,18.0,24.0,16.0,23.0,,,,
2017,1,102395,,,,,,,,,,,2.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,102429,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,102553,,3.0,2.0,,3.0,,,,1.0,,-2.0,,0.0,3.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2017,2,102580,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,102614,,0.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,0.0,0.0,0.0,0.0,,214.0,38.0,424.0,75.0,510.0,640.0,520.0,630.0,17.0,25.0,15.0,24.0,17.0,25.0,,,,
2017,2,102632,,0.0,2.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,
2017,2,102669,,0.0,2.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2017,2,102711,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,53,102845,,,,,,,,,,,-2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,103501,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,103529,,,,,,,,,,,-2.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,103741,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,103778,,,,,,,,,,,-2.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,103811,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,103893,,0.0,0.0,,1.0,,,,0.0,,-2.0,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2017,4,103909,,0.0,0.0,,1.0,,,,0.0,,-2.0,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2017,4,103927,,0.0,0.0,,1.0,,,,0.0,,-2.0,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2017,4,103945,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,103954,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,103963,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104090,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104151,,2.0,1.0,,2.0,,,,1.0,,-2.0,,0.0,2.0,1.0,2.0,0.0,0.0,,4284.0,54.0,4796.0,61.0,560.0,670.0,560.0,680.0,22.0,29.0,22.0,29.0,23.0,28.0,,,,
2017,4,104160,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104179,,0.0,2.0,,0.0,,,,3.0,,-2.0,,0.0,2.0,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,
2017,4,104188,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104346,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104364,,,,,,,,,,,-2.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104391,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104425,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104434,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104443,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104504,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104568,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104577,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104586,,3.0,3.0,,0.0,,,,1.0,,-2.0,,0.0,3.0,1.0,1.0,1.0,0.0,,396.0,58.0,392.0,58.0,560.0,670.0,570.0,680.0,23.0,29.0,22.0,29.0,24.0,28.0,,,,
2017,4,104665,,,,,,,,,,,4.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104708,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,104717,,0.0,2.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2017,4,104911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105136,,,,,,,,,,,-2.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105145,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105154,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105206,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105215,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105297,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105330,,0.0,2.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2017,4,105349,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105367,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105428,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105482,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105525,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105534,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,35,105543,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105589,,0.0,3.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,1.0,0.0,,27.0,42.0,29.0,45.0,570.0,615.0,490.0,570.0,19.0,27.0,20.0,30.0,16.0,24.0,,,,
2017,4,105659,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105668,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105677,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105701,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105747,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105792,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,105899,,0.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,0.0,1.0,0.0,,74.0,48.0,97.0,63.0,430.0,540.0,420.0,540.0,15.0,21.0,13.0,20.0,15.0,21.0,,,,
2017,4,105987,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,106041,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,106102,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,106111,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,106148,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
