unitid,year,ftpt,fips,retention_rate,returning_students,prev_cohort,prev_exclusions,prev_cohort_adj
101994,2017,1,1,0.47,31.0,66.0,0.0,66.0
101994,2017,2,1,0.5,5.0,10.0,0.0,10.0
101994,2017,99,1,0.47,36.0,76.0,0.0,76.0
102030,2017,1,1,0.5,296.0,597.0,0.0,597.0
102030,2017,2,1,0.3,45.0,151.0,0.0,151.0
102030,2017,99,1,0.46,341.0,748.0,0.0,748.0
102049,2017,1,1,0.87,797.0,916.0,0.0,916.0
102049,2017,2,1,,0.0,0.0,0.0,0.0
102049,2017,99,1,0.87,797.0,916.0,0.0,916.0
102058,2017,1,1,0.33,16.0,49.0,0.0,49.0
102058,2017,2,1,1.0,1.0,1.0,0.0,1.0
102058,2017,99,1,0.34,17.0,50.0,0.0,50.0
102067,2017,1,1,0.61,373.0,613.0,0.0,613.0
102067,2017,2,1,0.42,170.0,405.0,0.0,405.0
102067,2017,99,1,0.53,543.0,1018.0,0.0,1018.0
102076,2017,1,1,0.61,348.0,569.0,0.0,569.0
102076,2017,2,1,0.34,23.0,67.0,0.0,67.0
102076,2017,99,1,0.58,371.0,636.0,0.0,636.0
102094,2017,1,1,0.78,1517.0,1955.0,0.0,1955.0
102094,2017,2,1,0.61,25.0,41.0,0.0,41.0
102094,2017,99,1,0.77,1542.0,1996.0,0.0,1996.0
102234,2017,1,1,0.79,308.0,392.0,0.0,392.0
102234,2017,2,1,,,,,
102234,2017,99,1,0.79,308.0,392.0,0.0,392.0
102270,2017,1,1,0.52,65.0,125.0,0.0,125.0
102270,2017,2,1,0.25,1.0,4.0,0.0,4.0
102270,2017,99,1,0.51,66.0,129.0,0.0,129.0
102298,2017,1,1,0.64,16.0,25.0,0.0,25.0
102298,2017,2,1,1.0,1.0,1.0,0.0,1.0
102298,2017,99,1,0.65,17.0,26.0,0.0,26.0
102313,2017,1,1,0.6,142.0,235.0,0.0,235.0
102313,2017,2,1,0.43,50.0,116.0,0.0,116.0
102313,2017,99,1,0.55,192.0,351.0,0.0,351.0
102368,2017,1,1,0.7,1259.0,1798.0,0.0,1798.0
102368,2017,2,1,0.37,85.0,232.0,1.0,231.0
102368,2017,99,1,0.66,1344.0,2030.0,1.0,2029.0
102377,2017,1,1,0.68,420.0,615.0,0.0,615.0
102377,2017,2,1,1.0,1.0,1.0,0.0,1.0
102377,2017,99,1,0.68,421.0,616.0,0.0,616.0
102395,2017,1,1,,,,,
102395,2017,2,1,,,,,
102395,2017,99,1,,0.0,0.0,0.0,0.0
102429,2017,1,1,0.54,275.0,507.0,0.0,507.0
102429,2017,2,1,0.48,93.0,193.0,0.0,193.0
102429,2017,99,1,0.53,368.0,700.0,0.0,700.0
102553,2017,1,2,0.69,659.0,949.0,0.0,949.0
102553,2017,2,2,0.51,126.0,247.0,0.0,247.0
102553,2017,99,2,0.66,785.0,1196.0,0.0,1196.0
102580,2017,1,2,1.0,1.0,1.0,0.0,1.0
102580,2017,2,2,,0.0,0.0,0.0,0.0
102580,2017,99,2,1.0,1.0,1.0,0.0,1.0
102614,2017,1,2,0.77,346.0,449.0,0.0,449.0
102614,2017,2,2,0.64,27.0,42.0,0.0,42.0
102614,2017,99,2,0.76,373.0,491.0,0.0,491.0
102632,2017,1,2,0.7,49.0,70.0,0.0,70.0
102632,2017,2,2,0.17,1.0,6.0,0.0,6.0
102632,2017,99,2,0.66,50.0,76.0,0.0,76.0
102669,2017,1,2,0.78,29.0,37.0,0.0,37.0
102669,2017,2,2,1.0,1.0,1.0,0.0,1.0
