year,unitid,reqt_test_scores,open_admissions_policy,reqt_hs_gpa,reqt_recommendations,sat_number_submitting,sat_percent_submitting,act_number_submitting,act_percent_submitting,sat_crit_read_25_pctl,sat_crit_read_75_pctl,sat_math_25_pctl,sat_math_75_pctl,act_composite_25_pctl,act_composite_75_pctl,act_english_25_pctl,act_english_75_pctl,act_math_25_pctl,act_math_75_pctl,sat_writing_25_pctl,sat_writing_75_pctl,act_writing_25_pctl,act_writing_75_pctl
2016,191728,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,191834,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,191931,Required,No,Required,Recommended,756.0,81.0,177.0,19.0,450.0,550.0,440.0,550.0,20.0,25.0,,,,,,,,
2016,191940,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,191959,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,191968,Neither required nor recommended,No,Required,Required,,,,,,,,,,,,,,,,,,
2016,191986,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,192004,Neither required nor recommended,No,Recommended,Recommended,,,,,,,,,,,,,,,,,,
2016,192022,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,192040,Required,No,Recommended,Required,31.0,72.0,12.0,28.0,650.0,725.0,640.0,690.0,28.0,32.0,29.0,33.0,30.0,33.0,,,,
2016,192110,Neither required nor recommended,No,Neither required nor recommended,Required,,,,,,,,,,,,,,,,,,
2016,192156,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,192165,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,192192,Considered,No,Required,Required,193.0,53.0,85.0,23.0,410.0,520.0,430.0,530.0,18.0,23.0,18.0,23.0,18.0,23.0,,,,
2016,192271,Required,No,Required,Required,200.0,77.0,71.0,27.0,430.0,513.0,410.0,500.0,18.0,23.0,18.0,24.0,17.0,23.0,,,,
2016,192323,Considered,No,Required,Required,418.0,66.0,232.0,36.0,490.0,600.0,510.0,610.0,22.0,28.0,21.0,27.0,22.0,27.0,,,,
2016,192439,Recommended,No,Required,Required,,,,,,,,,,,,,,,,,,
2016,192448,Required,No,Required,Recommended,431.0,81.0,171.0,32.0,480.0,570.0,490.0,590.0,21.0,26.0,21.0,30.0,22.0,25.0,,,,
2016,192457,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,192484,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,192509,Neither required nor recommended,No,Neither required nor recommended,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2016,192554,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,192563,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,192624,Neither required nor recommended,No,Neither required nor recommended,Required,,,,,,,,,,,,,,,,,,
2016,192688,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,192703,Required,No,Required,Required,607.0,75.0,202.0,25.0,490.0,590.0,510.0,620.0,23.0,28.0,22.0,28.0,21.0,27.0,,,,
2016,192712,Recommended,No,Required,Required,,,,,,,,,,,,,,,,,,
2016,192749,Recommended,No,Required,Required,,,,,,,,,,,,,,,,,,
2016,192785,Recommended,No,Required,Recommended,,,,,,,,,,,,,,,,,,
2016,192800,Neither required nor recommended,No,Neither required nor recommended,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2016,192819,Neither required nor recommended,No,Required,Required,,,,,,,,,,,,,,,,,,
2016,192864,Required,No,Required,Required,412.0,75.0,170.0,31.0,480.0,600.0,450.0,570.0,22.0,27.0,21.0,30.0,18.0,25.0,,,,
2016,192925,Required,No,Required,Required,280.0,88.0,72.0,23.0,400.0,500.0,380.0,490.0,19.0,23.0,17.0,21.0,17.0,23.0,,,,
2016,192961,Neither required nor recommended,No,Recommended,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2016,192970,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,193016,Neither required nor recommended,No,Required,Required,,,,,,,,,,,,,,,,,,
2016,193052,Neither required nor recommended,No,Neither required nor recommended,Recommended,,,,,,,,,,,,,,,,,,
2016,193061,Neither required nor recommended,No,Neither required nor recommended,Required,,,,,,,,,,,,,,,,,,
2016,193070,Neither required nor recommended,No,Neither required nor recommended,Recommended,,,,,,,,,,,,,,,,,,
2016,193122,Neither required nor recommended,No,Neither required nor recommended,Required,,,,,,,,,,,,,,,,,,
2016,193186,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,193201,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,193247,Neither required nor recommended,No,Neither required nor recommended,Recommended,,,,,,,,,,,,,,,,,,
2016,193265,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,193283,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,193292,Required,No,Required,Recommended,496.0,88.0,188.0,33.0,490.0,580.0,490.0,590.0,21.0,26.0,,,,,,,,
2016,193308,Recommended,No,Required,Required,,,,,,,,,,,,,,,,,,
2016,193326,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,193353,Required,No,Required,Required,351.0,91.0,96.0,25.0,450.0,530.0,440.0,540.0,20.0,24.0,18.0,23.0,18.0,24.0,,,,
2016,193399,Required,No,Required,Required,383.0,88.0,50.0,11.0,400.0,490.0,380.0,490.0,17.0,22.0,16.0,22.0,16.0,22.0,,,,
2016,193405,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,193478,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2016,193584,Neither required nor recommended,No,Required,Required,,,,,,,,,,,,,,,,,,
2016,193609,Neither required nor recommended,No,Recommended,Required,,,,,,,,,,,,,,,,,,
2016,193645,Required,No,Required,Recommended,193.0,88.0,26.0,12.0,420.0,500.0,420.0,520.0,19.0,23.0,16.0,23.0,16.0,21.0,,,,
2016,193654,Considered,No,Recommended,Required,554.0,34.0,246.0,15.0,520.0,640.0,510.0,640.0,23.0,28.0,23.0,29.0,21.0,27.0,,,,
